| HH251      | A     | station     | HH251   | 2018-07-09 10:00:37 | None   |         | ground   |                                  | 540887.0E, 6601264.6N, 1050.7m |
| HH252      | A     | station     | HH252   | 2018-03-29 16:07:08 | None   |         | ground   |                                  | 540901.6E, 6601264.6N, 1050.7m |
| HH253      | A     | station     | HH253   | 2018-03-29 16:07:09 | None   |         | ground   |                                  | 540916.2E, 6601264.6N, 1050.7m |
| HH254      | A     | station     | HH254   | 2018-03-29 16:07:11 | None   |         | ground   |                                  | 540930.8E, 6601264.6N, 1050.7m |
| HH255      | A     | station     | HH255   | 2018-03-29 16:07:13 | None   |         | ground   |                                  | 540945.4E, 6601264.6N, 1050.7m |
| HH256      | A     | station     | HH256   | 2018-03-29 16:07:15 | None   |         | ground   |                                  | 540960.0E, 6601264.6N, 1050.7m |
| HH257      | A     | station     | HH257   | 2018-03-29 16:07:17 | None   |         | ground   |                                  | 540974.6E, 6601264.6N, 1050.7m |
| HH258      | A     | station     | HH258   | 2018-03-29 16:07:18 | None   |         | ground   |                                  | 540989.2E, 6601264.6N, 1050.7m |
| HH259      | A     | station     | HH259   | 2018-03-29 16:07:20 | None   |         | ground   |                                  | 541003.8E, 6601264.6N, 1050.7m |
| HH25       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540916.2E, 6601096.0N, 1052.3m |
| HH260      | A     | station     | HH260   | 2018-03-29 16:07:22 | None   |         | ground   |                                  | 541018.4E, 6601264.6N, 1050.7m |
| HH266      | A     | station     | HH266   | 2018-03-29 16:07:24 | None   |         | ground   |                                  | 540879.7E, 6601277.3N, 1050.5m |
| HH267      | A     | station     | HH267   | 2018-07-10 10:00:37 | None   |         | ground   |                                  | 540894.3E, 6601277.3N, 1050.5m |
| HH26       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540930.8E, 6601096.0N, 1052.3m |
| HH27       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540945.4E, 6601096.0N, 1052.4m |
| HH281      | A     | station     | HH281   | 2018-03-29 16:07:26 | None   |         | ground   |                                  | 540887.0E, 6601289.9N, 1050.4m |
| HH282      | A     | station     | HH282   | 2018-07-10 10:00:37 | None   |         | ground   |                                  | 540901.6E, 6601289.9N, 1050.4m |
| HH28       | A     | station     | S2      | 2017-02-03 08:00:37 | None   |         | ground   |                                  | 540960.0E, 6601096.0N, 1052.3m |
| HH29       | A     | station     | HH29    | 2018-11-21 10:00:37 | None   |         | ground   |                                  | 540974.6E, 6601096.0N, 1052.3m |
| HH2        | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540930.8E, 6601070.7N, 1052.6m |
| HH30       | A     | station     | HH30    | 2018-11-21 10:00:37 | None   |         | ground   |                                  | 540989.2E, 6601096.0N, 1052.3m |
| HH31       | A     | station     | HH31    | 2018-11-27 10:00:37 | None   |         | ground   |                                  | 541003.8E, 6601096.0N, 1052.4m |
| HH32       | A     | station     | HH32    | 2018-11-28 10:00:37 | None   |         | ground   |                                  | 541018.4E, 6601096.0N, 1052.3m |
| HH33       | A     | station     | HH33    | 2018-11-29 10:00:37 | None   |         | ground   |                                  | 541033.0E, 6601096.0N, 1052.3m |
| HH34       | A     | station     | HH34    | 2018-12-03 10:00:37 | None   |         | ground   |                                  | 541054.9E, 6601091.8N, 1052.3m |
| HH36       | A     | station     | S2      | 2017-02-03 08:00:37 | None   |         | ground   |                                  | 540879.7E, 6601108.7N, 1052.2m |
| HH37       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540894.3E, 6601108.7N, 1052.3m |
| HH38       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540908.9E, 6601108.7N, 1052.2m |
| HH39       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540923.5E, 6601108.7N, 1052.2m |
| HH3        | A     | station     | S2      | 2017-03-03 01:18:17 | None   |         | ground   |                                  | 540945.4E, 6601070.7N, 1052.5m |
| HH40       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540938.1E, 6601108.7N, 1052.2m |
| HH41       | A     | station     | S2      | 2017-03-03 01:22:03 | None   |         | ground   |                                  | 540952.7E, 6601108.7N, 1052.2m |
| HH42       | A     | station     | S1      | 2017-02-03 08:00:37 | None   |         | ground   |                                  | 540967.3E, 6601108.7N, 1052.2m |
| HH43       | A     | station     | HH43    | 2018-11-22 10:00:37 | None   |         | ground   |                                  | 540981.9E, 6601108.7N, 1052.2m |
| HH44       | A     | station     | HH44    | 2018-11-22 10:00:37 | None   |         | ground   |                                  | 540996.5E, 6601108.7N, 1052.2m |
| HH45       | A     | station     | HH45    | 2018-11-28 10:00:37 | None   |         | ground   |                                  | 541011.1E, 6601108.7N, 1052.2m |
| HH46       | A     | station     | HH46    | 2018-11-29 10:00:37 | None   |         | ground   |                                  | 541025.7E, 6601108.7N, 1052.2m |
| HH47       | A     | station     | HH47    | 2018-12-03 10:00:37 | None   |         | ground   |                                  | 541047.6E, 6601104.5N, 1052.2m |
| HH4        | A     | station     | HH4     | 2018-11-21 10:00:37 | None   |         | ground   |                                  | 540960.0E, 6601070.7N, 1052.5m |
| HH50       | A     | station     | HH50    | 2017-10-03 16:43:44 | None   |         | ground   |                                  | 540872.4E, 6601121.3N, 1052.0m |
| HH51       | A     | station     | S2      | 2014-10-04 15:00:35 | None   |         | ground   |                                  | 540887.0E, 6601121.3N, 1052.0m |
| HH52       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540901.6E, 6601121.3N, 1052.1m |
| HH53       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540916.2E, 6601121.3N, 1052.1m |
| HH54       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540930.8E, 6601121.3N, 1052.1m |
| HH55       | A     | station     | S2      | 2017-03-11 18:48:06 | None   |         | ground   |                                  | 540945.4E, 6601121.3N, 1052.0m |
| HH56       | A     | station     | S2      | 2017-03-04 20:24:19 | None   |         | ground   |                                  | 540960.0E, 6601121.3N, 1052.1m |
| HH57       | A     | station     | HH57    | 2018-02-10 01:11:23 | None   |         | ground   |                                  | 540974.6E, 6601121.3N, 1052.1m |
| HH58       | A     | station     | HH58    | 2018-02-10 01:11:32 | None   |         | ground   |                                  | 540989.2E, 6601121.3N, 1052.0m |
| HH59       | A     | station     | HH59    | 2018-11-27 10:00:37 | None   |         | ground   |                                  | 541003.8E, 6601121.3N, 1052.0m |
| HH5        | A     | station     | HH5     | 2018-11-21 10:00:37 | None   |         | ground   |                                  | 540974.6E, 6601070.7N, 1052.5m |
| HH60       | A     | station     | HH60    | 2018-11-28 10:00:37 | None   |         | ground   |                                  | 541018.4E, 6601121.3N, 1052.0m |
| HH61       | A     | station     | HH61    | 2018-12-04 10:00:37 | None   |         | ground   |                                  | 541040.3E, 6601117.1N, 1052.1m |
| HH62       | A     | station     | HH62    | 2018-12-04 10:00:37 | None   |         | ground   |                                  | 541054.9E, 6601117.1N, 1052.1m |
| HH65       | A     | station     | HH65    | 2017-10-03 16:43:12 | None   |         | ground   |                                  | 540865.1E, 6601134.0N, 1051.9m |
| HH66       | A     | station     | HH66    | 2017-10-03 16:43:28 | None   |         | ground   |                                  | 540879.7E, 6601134.0N, 1051.9m |
| HH67       | A     | station     | S2      | 2017-07-15 20:23:56 | None   |         | ground   |                                  | 540894.3E, 6601134.0N, 1051.9m |
| HH68       | A     | station     | S2      | 2017-07-15 20:24:10 | None   |         | ground   |                                  | 540908.9E, 6601134.0N, 1051.9m |
| HH69       | A     | station     | S2      | 2017-05-01 02:31:32 | None   |         | ground   |                                  | 540923.5E, 6601134.0N, 1051.9m |
